bucket,n_arcs,n_active_nodes,n_new_nodes,n_new_edge_events,density_local,cum_new_nodes,novelty_rate
308,47,33,6,34,1.4242424242424243,383,0.723404255319149
309,2,4,0,2,0.5,383,1.0
310,2,3,0,2,0.6666666666666666,383,1.0
311,2,2,0,2,1.0,383,1.0
312,1,2,0,0,0.5,383,0.0
313,2,4,0,2,0.5,383,1.0
314,12,17,1,8,0.7058823529411765,384,0.6666666666666666
315,4,7,1,3,0.5714285714285714,385,0.75
316,17,17,2,13,1.0,387,0.7647058823529411
317,15,17,1,11,0.8823529411764706,388,0.7333333333333333
318,14,24,0,9,0.5833333333333334,388,0.6428571428571429
319,24,28,3,12,0.8571428571428571,391,0.5
320,32,27,5,23,1.1851851851851851,396,0.71875
321,64,30,1,29,2.1333333333333333,397,0.453125
322,34,29,3,22,1.1724137931034482,400,0.6470588235294118
323,26,24,2,13,1.0833333333333333,402,0.5
324,24,25,1,7,0.96,403,0.2916666666666667
325,49,26,2,31,1.8846153846153846,405,0.6326530612244898
326,55,37,5,35,1.4864864864864864,410,0.6363636363636364
327,35,32,0,12,1.09375,410,0.34285714285714286
328,68,50,6,55,1.36,416,0.8088235294117647
329,101,62,3,51,1.6290322580645162,419,0.504950495049505
330,115,54,4,45,2.1296296296296298,423,0.391304347826087
331,101,46,1,44,2.1956521739130435,424,0.43564356435643564
332,46,25,3,20,1.84,427,0.43478260869565216
333,9,11,0,8,0.8181818181818182,427,0.8888888888888888
334,3,6,0,3,0.5,427,1.0
335,0,0,0,0,0.0,427,
336,0,0,0,0,0.0,427,
337,1,2,0,1,0.5,427,1.0
338,8,12,1,5,0.6666666666666666,428,0.625
339,20,20,2,15,1.0,430,0.75
340,32,24,2,14,1.3333333333333333,432,0.4375
341,10,17,0,6,0.5882352941176471,432,0.6
342,11,13,0,4,0.8461538461538461,432,0.36363636363636365
343,28,30,4,14,0.9333333333333333,436,0.5
344,17,19,0,5,0.8947368421052632,436,0.29411764705882354
345,9,13,0,4,0.6923076923076923,436,0.4444444444444444
346,32,33,2,21,0.9696969696969697,438,0.65625
347,45,44,10,28,1.0227272727272727,448,0.6222222222222222
348,64,49,5,28,1.3061224489795917,453,0.4375
349,43,43,6,22,1.0,459,0.5116279069767442
350,45,40,6,24,1.125,465,0.5333333333333333
351,53,37,6,32,1.4324324324324325,471,0.6037735849056604
352,82,47,7,48,1.7446808510638299,478,0.5853658536585366
353,157,65,8,99,2.4153846153846152,486,0.6305732484076433
354,121,78,9,79,1.5512820512820513,495,0.6528925619834711
355,98,51,3,48,1.9215686274509804,498,0.4897959183673469
356,113,54,6,79,2.0925925925925926,504,0.6991150442477876
357,16,11,1,7,1.4545454545454546,505,0.4375
358,0,0,0,0,0.0,505,
359,1,2,0,1,0.5,505,1.0
360,1,2,0,0,0.5,505,0.0
361,1,2,0,0,0.5,505,0.0
362,14,19,0,7,0.7368421052631579,505,0.5
363,29,12,2,11,2.4166666666666665,507,0.3793103448275862
